id_contrato,nit_entidad,entidad,departamento,ciudad,orden,tipo_contrato,modalidad,estado,unspsc,fecha_firma,anio,periodo_gobierno,descripcion,dir_ejecucion,urlproceso,valor,valor_plausible,valor_pagado,valor_pend_ejecucion,valor_anticipo,precio_base,rec_regalias,rec_sgp,rec_propios_terr,n_oferentes_unicos,n_invitados,dias_ventana,dias_originales,dias_adicionados,proveedor,ordenador,supervisor,doc_proveedor,doc_ordenador,doc_supervisor,doc_replegal,cuenta_key,puntos_crudos,score,n_banderas_fuertes,es_atipico,f_cuenta_compartida,f_ordenador_es_supervisor,f_sobrepago,f_anticipo_no_declarado,f_anticipo_al_tope,f_fraccionamiento,f_proponente_unico,f_obra_directa,f_ratio_calcado,f_invitacion_vacia,f_replegal_multiempresa,f_ordenador_concentrado,f_al_tope_minima,f_ventana_corta,f_supervisor_sobrecargado,f_ordenador_itinerante,f_prorroga_mayor,f_cierre_de_periodo,f_datos_faltantes,f_sin_proceso,f_valor_implausible,f_cuenta_consorcios,ev_share_top1_ordenador,ev_hhi_ordenador,ev_contratos_supervisor,ev_entidades_ordenador,ev_proveedores_por_cuenta,ev_tipo_red_cuenta,ev_empresas_por_replegal,ev_hermanos_30d,ev_ventana_mediana_modalidad,ev_tope_minima_entidad,ev_tasa_autosupervision_entidad
CO1.PCCNTR.4000911,891680011,GOBERNACION DEL CHOCO,QUINDIO,ARMENIA,DEPARTAMENTAL,OBRA,CONCURSO DE MERITOS,LIQUIDADO,72151500,2021-02-18,2021,2020-2023,OPTIMIZACION DEL SISTEMA DE ACUEDUCTO Y ALCANTARILLADO,KM 38 VIA ARMENIA - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000911&isFromPublicArea=True'},2023764414,2023764414,1200125087,626088016,1011882207,2071958243,0,1,0,7,1,26,60,0,JUNTA DE ACCION COMUNAL VEREDA LA ESPERANZA,MARTHA CECILIA ROJAS VILLAMIL,DIANA CAROLINA ZAPATA TORO,800556677,14725883,26905533,46657322,CTA-BAN-0044517,2.0,0.05,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669,0.381,7,1,1,comunitaria,1,0,15,111000000,0.08
CO1.PCCNTR.4000912,800103913,E.S.E. HOSPITAL SAN RAFAEL,SANTANDER,BARRANCABERMEJA,TERRITORIAL,INTERVENTORIA,SELECCION ABREVIADA,TERMINADO,81101500,2021-01-08,2021,2020-2023,INTERVENTORIA TECNICA ADMINISTRATIVA Y FINANCIERA AL CONTRATO DE OBRA,KM 2 VIA BARRANCABERMEJA - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000912&isFromPublicArea=True'},9935149992,9935149992,4951097614,5014559415,0,7535714592,1,1,1,2,7,11,240,150,UNION TEMPORAL PROGRESO 2024,OSCAR IVAN BETANCUR GIRALDO,HERNAN DARIO QUINTERO BEDOYA,900990011,32732448,89573186,49879473,CTA-BAN-0077310,1.0,0.025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.278,0.573,7,1,3,consorcios,1,0,12,111000000,0.277
CO1.PCCNTR.4000913,899999063,SERVICIO NACIONAL DE APRENDIZAJE - SENA,CESAR,VALLEDUPAR,NACIONAL,OBRA,SELECCION ABREVIADA,LIQUIDADO,81101500,2022-07-06,2022,2020-2023,MEJORAMIENTO DE VIA TERCIARIA EN LA VEREDA EL PORVENIR,KM 12 VIA VALLEDUPAR - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000913&isFromPublicArea=True'},1338812222,1338812222,695284892,114902921,0,1340165145,1,1,0,3,6,11,180,393,UNION TEMPORAL PROGRESO 2024,HERNAN DARIO QUINTERO BEDOYA,WILSON ALBERTO GUERRERO PAZ,900990011,21207292,59896977,69119666,CTA-BAN-0091823,1.0,0.025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.565,0.865,2,1,1,comunitaria,1,0,12,111000000,0.076
CO1.PCCNTR.4000914,890905211,MUNICIPIO DE EL BAGRE,META,PUERTO GAITAN,TERRITORIAL,INTERVENTORIA,SELECCION ABREVIADA,CELEBRADO,72141100,2017-08-09,2017,2016-2019,CONSTRUCCION DE PLACA HUELLA EN ZONA RURAL DEL MUNICIPIO,KM 32 VIA PUERTO GAITAN - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000914&isFromPublicArea=True'},93818439019,93818439019,57379428153,23547438114,28145531705,72699638814,1,1,1,3,10,1,60,60,CONSTRUCTORA VIBORAL S.A.S.,OSCAR IVAN BETANCUR GIRALDO,ALVARO JOSE PENALOZA SIERRA,901667788,68571268,45633577,20806247,CTA-BAN-0044517,3.0,0.075,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207,0.603,6,1,1,consorcios,1,0,12,111000000,0.285
CO1.PCCNTR.4000915,891680011,GOBERNACION DEL CHOCO,SUCRE,SINCELEJO,DEPARTAMENTAL,INTERVENTORIA,CONTRATACION DIRECTA,CELEBRADO,72151500,2021-02-04,2021,2020-2023,MANTENIMIENTO DE LA INFRAESTRUCTURA EDUCATIVA DE LA I.E. SANTO TOMAS,KM 29 VIA SINCELEJO - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000915&isFromPublicArea=True'},1987412355,1987412355,436872873,1022826409,0,1535614095,0,1,1,6,9,1,240,0,INTERVENTORIAS TECNICAS ANDINAS S.A.,DIANA CAROLINA ZAPATA TORO,OSCAR IVAN BETANCUR GIRALDO,860334455,70967223,89328601,53268807,CTA-BAN-0091823,1.0,0.025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.223,0.724,10,1,1,comunitaria,1,0,1,111000000,0.089
CO1.PCCNTR.4000916,899999034,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,CORDOBA,MONTERIA,NACIONAL,OBRA,MINIMA CUANTIA,CELEBRADO,81101500,2019-11-23,2019,2016-2019,INTERVENTORIA TECNICA ADMINISTRATIVA Y FINANCIERA AL CONTRATO DE OBRA,KM 10 VIA MONTERIA - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000916&isFromPublicArea=True'},1934572516,1934572516,619245037,1067437995,0,1541138869,0,0,1,7,7,8,60,30,MYG PUERRES S.A.S.,LUZ MARINA CARDENAS OSPINA,HERNAN DARIO QUINTERO BEDOYA,901556677,75949839,98537578,80102294,CTA-BAN-0012004,1.0,0.025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.865,0.481,10,5,1,empresas_independientes,1,0,4,111000000,0.34
CO1.PCCNTR.4000017,899999034,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,CUNDINAMARCA,SOACHA,NACIONAL,CONCESION,LICITACION PUBLICA,TERMINADO,81101500,2025-10-02,2025,2024-2027,ADECUACION DEL PARQUE PRINCIPAL Y ESPACIO PUBLICO ADYACENTE,KM 3 VIA SOACHA - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000017&isFromPublicArea=True'},1558292405,1558292405,508745156,839659211,0,1599829802,0,1,0,1,10,3,120,30,UNION TEMPORAL PROGRESO 2024,SANDRA PATRICIA MOSQUERA RENTERIA,DIANA CAROLINA ZAPATA TORO,900990011,96297654,69227119,54448748,CTA-BAN-0044517,6.0,0.15,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.929,0.863,10,1,1,consorcios,8,0,24,111000000,0.039
CO1.PCCNTR.4000018,890801150,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO E.S.P.,CUNDINAMARCA,SOACHA,TERRITORIAL,OBRA,CONTRATACION DIRECTA,LIQUIDADO,72141100,2021-05-26,2021,2020-2023,ADECUACION DEL PARQUE PRINCIPAL Y ESPACIO PUBLICO ADYACENTE,KM 19 VIA SOACHA - ZONA RURAL,,2081319886,2081319886,2045899831,456410102,624395965,,0,1,1,1,2,9,60,0,JUNTA DE ACCION COMUNAL VEREDA LA ESPERANZA,GLORIA ESPERANZA NINO ARAUJO,HERNAN DARIO QUINTERO BEDOYA,800556677,49205802,22231734,90125775,CTA-BAN-0012004,6.0,0.15,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.242,0.258,9,1,1,comunitaria,1,0,1,111000000,0.377
CO1.PCCNTR.4000019,899999063,SERVICIO NACIONAL DE APRENDIZAJE - SENA,CUNDINAMARCA,SOACHA,NACIONAL,OBRA,CONCURSO DE MERITOS,CELEBRADO,72141100,2022-01-03,2022,2020-2023,OPTIMIZACION DEL SISTEMA DE ACUEDUCTO Y ALCANTARILLADO,KM 27 VIA SOACHA - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000019&isFromPublicArea=True'},317101458,317101458,297490872,34191901,0,318120520,1,0,1,1,12,25,60,60,JUNTA DE ACCION COMUNAL VEREDA LA ESPERANZA,GLORIA ESPERANZA NINO ARAUJO,DIANA CAROLINA ZAPATA TORO,800556677,49305836,52553801,33625056,CTA-BAN-0091823,5.0,0.125,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.587,0.382,6,1,1,empresas_independientes,1,2,15,111000000,0.033
CO1.PCCNTR.4000020,899999034,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,CUNDINAMARCA,SOACHA,NACIONAL,CONSULTORIA,CONTRATACION DIRECTA,TERMINADO,81101500,2025-04-14,2025,2024-2027,ADECUACION DEL PARQUE PRINCIPAL Y ESPACIO PUBLICO ADYACENTE,KM 21 VIA SOACHA - ZONA RURAL,,385867847,385867847,232364539,43787774,0,,1,1,1,7,11,15,240,0,INGENIERIA Y OBRAS CIVILES SAS,LUZ MARINA CARDENAS OSPINA,LUZ MARINA CARDENAS OSPINA,900778899,98919366,95668892,70619353,CTA-BAN-0044517,3.0,0.075,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.881,0.776,9,1,1,comunitaria,1,0,1,111000000,0.077
CO1.PCCNTR.4000021,899999034,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,CUNDINAMARCA,SOACHA,NACIONAL,OBRA,LICITACION PUBLICA,CELEBRADO,72151500,2021-06-13,2021,2020-2023,MANTENIMIENTO DE LA INFRAESTRUCTURA EDUCATIVA DE LA I.E. SANTO TOMAS,KM 4 VIA SOACHA - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000021&isFromPublicArea=True'},75165815,75165815,44606196,1803645,0,70047848,1,0,0,1,7,21,180,30,JUNTA DE ACCION COMUNAL VEREDA LA ESPERANZA,HERNAN DARIO QUINTERO BEDOYA,HERNAN DARIO QUINTERO BEDOYA,800556677,94505779,94505779,44926716,CTA-BAN-0044517,6.0,0.15,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.204,0.451,3,4,1,consorcios,1,0,24,111000000,0.212
CO1.PCCNTR.4000022,899999034,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,CUNDINAMARCA,SOACHA,NACIONAL,OBRA,CONTRATACION DIRECTA,LIQUIDADO,72141100,2025-07-09,2025,2024-2027,CONSTRUCCION DE PLACA HUELLA EN ZONA RURAL DEL MUNICIPIO,KM 12 VIA SOACHA - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000022&isFromPublicArea=True'},94837055116,94837055116,39763303364,40556810532,0,94957900275,0,0,0,1,4,11,60,30,CONSTRUCTORA VIBORAL S.A.S.,LUZ MARINA CARDENAS OSPINA,ALVARO JOSE PENALOZA SIERRA,901667788,57310084,61012392,32269287,CTA-BAN-0091823,4.0,0.1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357,0.461,5,1,1,comunitaria,1,0,1,111000000,0.157
CO1.PCCNTR.4000023,800103913,E.S.E. HOSPITAL SAN RAFAEL,CUNDINAMARCA,SOACHA,TERRITORIAL,INTERVENTORIA,MINIMA CUANTIA,TERMINADO,72151500,2021-10-12,2021,2020-2023,MANTENIMIENTO DE LA INFRAESTRUCTURA EDUCATIVA DE LA I.E. SANTO TOMAS,KM 16 VIA SOACHA - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000023&isFromPublicArea=True'},1521931794,1521931794,453141470,204813704,0,1189041038,0,0,1,2,3,22,240,0,MYG LINARES S.A.S.,ALVARO JOSE PENALOZA SIERRA,HERNAN DARIO QUINTERO BEDOYA,900412345,30235643,71278317,34611821,CTA-BAN-0077310,5.0,0.125,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.935,0.874,3,1,2,empresas_independientes,1,0,4,111000000,0.325
CO1.PCCNTR.4000024,800103913,E.S.E. HOSPITAL SAN RAFAEL,CUNDINAMARCA,SOACHA,TERRITORIAL,OBRA,CONCURSO DE MERITOS,LIQUIDADO,72151500,2024-09-13,2024,2024-2027,INTERVENTORIA TECNICA ADMINISTRATIVA Y FINANCIERA AL CONTRATO DE OBRA,KM 28 VIA SOACHA - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000024&isFromPublicArea=True'},58639550231,58639550231,37938851174,16907795453,0,58656932403,0,1,1,1,8,9,240,296,JUNTA DE ACCION COMUNAL VEREDA LA ESPERANZA,JAIRO ANTONIO MENDOZA PALACIOS,LUZ MARINA CARDENAS OSPINA,800556677,10006961,93806092,72970410,CTA-BAN-0012004,6.0,0.15,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.893,0.748,11,1,5,empresas_independientes,1,0,15,111000000,0.31
CO1.PCCNTR.4000025,892000501,ALCALDIA MUNICIPAL DE PUERTO GAITAN,CUNDINAMARCA,SOACHA,TERRITORIAL,OBRA,MINIMA CUANTIA,EN EJECUCION,72151500,2025-03-07,2025,2024-2027,MANTENIMIENTO DE LA INFRAESTRUCTURA EDUCATIVA DE LA I.E. SANTO TOMAS,KM 39 VIA SOACHA - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000025&isFromPublicArea=True'},76442937,76442937,33522214,28888790,22932881,69041221,0,1,1,1,7,1,120,150,JUNTA DE ACCION COMUNAL VEREDA LA ESPERANZA,DIANA CAROLINA ZAPATA TORO,DIANA CAROLINA ZAPATA TORO,800556677,65797591,65797591,61677486,CTA-BAN-0044517,7.0,0.175,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.788,0.329,12,1,1,consorcios,1,0,4,111000000,0.023
CO1.PCCNTR.4000026,899999063,SERVICIO NACIONAL DE APRENDIZAJE - SENA,CUNDINAMARCA,SOACHA,NACIONAL,OBRA,CONTRATACION DIRECTA,CELEBRADO,81101500,2024-02-19,2024,2024-2027,CONSTRUCCION DE PLACA HUELLA EN ZONA RURAL DEL MUNICIPIO,KM 38 VIA SOACHA - ZONA RURAL,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5000026&isFromPublicArea=True'},312377251,312377251,242724478,39997811,93713175,249029269,0,0,1,7,12,29,60,60,JUNTA DE ACCION COMUNAL VEREDA LA ESPERANZA,GLORIA ESPERANZA NINO ARAUJO,OSCAR IVAN BETANCUR GIRALDO,800556677,56160104,30139923,55261033,CTA-BAN-0012004,3.0,0.075,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.897,0.843,1,1,1,consorcios,1,0,1,111000000,0.155
